dataset,Country,TaxFamily,TaxRed
SRR806701,USA,Apidae,Apidae
SRR806709,USA,Apidae,Apidae
SRR806711,USA,Apidae,Apidae
SRR807359,USA,Vespidae,Vespidae
SRR867005,USA,Siricidae,Others
SRR893037,USA,Apidae,Apidae
SRR893038,USA,Apidae,Apidae
SRR922440,,Apidae,Apidae
SRR935172,USA,Apidae,Apidae
SRR935173,USA,Apidae,Apidae
SRR935174,USA,Apidae,Apidae
SRR935175,USA,Apidae,Apidae
SRR935176,USA,Apidae,Apidae
SRR935177,USA,Apidae,Apidae
SRR935178,USA,Apidae,Apidae
SRR935179,USA,Apidae,Apidae
SRR935180,USA,Apidae,Apidae
SRR955015,,Braconidae,Braconidae
SRR955374,,Braconidae,Braconidae
SRR974922,,Agaonidae,Others
SRR974923,,Agaonidae,Others
SRR989674,,Apidae,Apidae
SRR989676,,Apidae,Apidae
BeeP.01.2013,BEL,BELAPI,BELAPI
BeeP.02.2013,BEL,BELAPI,BELAPI
BeeP.03.2013,BEL,BELAPI,BELAPI
BeeP.04.2013,BEL,BELAPI,BELAPI
BeeP.05.2013,BEL,BELAPI,BELAPI
BeeP.06.2013,BEL,BELAPI,BELAPI
BeeP.07.2013,BEL,BELAPI,BELAPI
BeeP.08.2013,BEL,BELAPI,BELAPI
BeeP.09.2013,BEL,BELAPI,BELAPI
BeeP.10.2013,BEL,BELAPI,BELAPI
BeeP.11.2013,BEL,BELAPI,BELAPI
BeeP.12.2013,BEL,BELAPI,BELAPI
BeeP.13.2013,BEL,BELAPI,BELAPI
BeeP.14.2013,BEL,BELAPI,BELAPI
BeeP.15.2013,BEL,BELAPI,BELAPI
BeeP.16.2013,BEL,BELAPI,BELAPI
BeeP.17.2013,BEL,BELAPI,BELAPI
BeeP.18.2013,BEL,BELAPI,BELAPI
BeeP.19.2013,BEL,BELAPI,BELAPI
BeeP.20.2013,BEL,BELAPI,BELAPI
BeeP.21.2013,BEL,BELAPI,BELAPI
BeeP.22.2013,BEL,BELAPI,BELAPI
BeeP.23.2013,BEL,BELAPI,BELAPI
BeeP.24.2013,BEL,BELAPI,BELAPI
BeeP.25.2013,BEL,BELAPI,BELAPI
BeeP.26.2013,BEL,BELAPI,BELAPI
BeeP.27.2013,BEL,BELAPI,BELAPI
BeeP.28.2013,BEL,BELAPI,BELAPI
BeeP.29.2013,BEL,BELAPI,BELAPI
BeeP.30.2013,BEL,BELAPI,BELAPI
BeeP.31.2013,BEL,BELAPI,BELAPI
BeeP.32.2013,BEL,BELAPI,BELAPI
BeeP.33.2013,BEL,BELAPI,BELAPI
BeeP.34.2013,BEL,BELAPI,BELAPI
BeeP.35.2013,BEL,BELAPI,BELAPI
BeeP.36.2013,BEL,BELAPI,BELAPI
BeeP.37.2013,BEL,BELAPI,BELAPI
BeeP.38.2013,BEL,BELAPI,BELAPI
BeeP.39.2013,BEL,BELAPI,BELAPI
BeeP.40.2013,BEL,BELAPI,BELAPI
BeeP.41.2013,BEL,BELAPI,BELAPI
BeeP.42.2013,BEL,BELAPI,BELAPI
BeeP.43.2013,BEL,BELAPI,BELAPI
BeeP.44.2013,BEL,BELAPI,BELAPI
BeeP.45.2013,BEL,BELAPI,BELAPI
BeeP.46.2013,BEL,BELAPI,BELAPI
BeeP.47.2013,BEL,BELAPI,BELAPI
BeeP.48.2013,BEL,BELAPI,BELAPI
BeeP.49.2013,BEL,BELAPI,BELAPI
BeeP.50.2013,BEL,BELAPI,BELAPI
BeeP.Q1.2013,BEL,BELAPI,BELAPI
BeeP.Q2.2013,BEL,BELAPI,BELAPI
BP10,BEL,BELAPI,BELAPI
BP11,BEL,BELAPI,BELAPI
BP12,BEL,BELAPI,BELAPI
BP13,BEL,BELAPI,BELAPI
BP14,BEL,BELAPI,BELAPI
BP15,BEL,BELAPI,BELAPI
BP16,BEL,BELAPI,BELAPI
BP17,BEL,BELAPI,BELAPI
BP18,BEL,BELAPI,BELAPI
BP19,BEL,BELAPI,BELAPI
BP1,BEL,BELAPI,BELAPI
BP20,BEL,BELAPI,BELAPI
BP21,BEL,BELAPI,BELAPI
BP22,BEL,BELAPI,BELAPI
BP23,BEL,BELAPI,BELAPI
BP24,BEL,BELAPI,BELAPI
BP25,BEL,BELAPI,BELAPI
BP26,BEL,BELAPI,BELAPI
BP27,BEL,BELAPI,BELAPI
BP28,BEL,BELAPI,BELAPI
BP29,BEL,BELAPI,BELAPI
BP2,BEL,BELAPI,BELAPI
BP30,BEL,BELAPI,BELAPI
BP31,BEL,BELAPI,BELAPI
BP32,BEL,BELAPI,BELAPI
BP33,BEL,BELAPI,BELAPI
BP34,BEL,BELAPI,BELAPI
BP35,BEL,BELAPI,BELAPI
BP36,BEL,BELAPI,BELAPI
BP37,BEL,BELAPI,BELAPI
BP38,BEL,BELAPI,BELAPI
BP39,BEL,BELAPI,BELAPI
BP3,BEL,BELAPI,BELAPI
BP40,BEL,BELAPI,BELAPI
BP41,BEL,BELAPI,BELAPI
BP42,BEL,BELAPI,BELAPI
BP43,BEL,BELAPI,BELAPI
BP44,BEL,BELAPI,BELAPI
BP45,BEL,BELAPI,BELAPI
BP46,BEL,BELAPI,BELAPI
BP47,BEL,BELAPI,BELAPI
BP48,BEL,BELAPI,BELAPI
BP49,BEL,BELAPI,BELAPI
BP4,BEL,BELAPI,BELAPI
BP50,BEL,BELAPI,BELAPI
BP5,BEL,BELAPI,BELAPI
BP6,BEL,BELAPI,BELAPI
BP7,BEL,BELAPI,BELAPI
BP8,BEL,BELAPI,BELAPI
BP9,BEL,BELAPI,BELAPI
